year,score_bin,topics,papers,min_acceptance,max_acceptance,acceptance_spread
2021,5.0,3,107,0.0,0.03225806451612903,0.03225806451612903
2021,6.0,1,38,0.47368421052631576,0.47368421052631576,0.0
2022,6.0,1,39,0.48717948717948717,0.48717948717948717,0.0
2023,5.0,2,62,0.0625,0.06666666666666667,0.004166666666666666
2024,4.0,4,174,0.0,0.0,0.0
2024,4.5,3,124,0.0,0.024390243902439025,0.024390243902439025
2024,5.0,6,284,0.0,0.08,0.08
2024,5.5,3,115,0.22857142857142856,0.3333333333333333,0.10476190476190475
2024,6.0,7,337,0.5151515151515151,0.7333333333333333,0.21818181818181814
2024,6.5,2,77,0.8085106382978723,1.0,0.19148936170212771
2024,7.0,1,32,0.9375,0.9375,0.0
2025,3.0,1,43,0.0,0.0,0.0
2025,3.5,2,105,0.0,0.0,0.0
2025,4.0,5,355,0.0,0.05405405405405406,0.05405405405405406
2025,4.5,4,213,0.0,0.0,0.0
2025,5.0,9,615,0.023809523809523808,0.12962962962962962,0.10582010582010581
2025,5.5,3,211,0.12698412698412698,0.1896551724137931,0.06267104542966612
2025,6.0,9,645,0.42857142857142855,0.7948717948717948,0.3663003663003663
2025,6.5,3,176,0.8979591836734694,0.967741935483871,0.06978275181040161
2025,7.0,3,137,0.9393939393939394,0.96875,0.029356060606060552
2025,7.5,1,35,0.9714285714285714,0.9714285714285714,0.0
