year,topic,papers,decisions,acceptance_rate,reviewed,mean_score,mean_disagreement,high_disagreement_rate
2020,interpretability,22,22,0.045454545454545456,22,4.003787878787879,1.4284531540734653,0.2727272727272727
2020,knowledge distillation,11,11,0.2727272727272727,10,4.433333333333334,1.4547024468618666,0.2727272727272727
2020,knowledge graphs,8,8,0.375,8,4.46875,1.2814986308004404,0.375
2020,language models,76,76,0.32894736842105265,75,4.206666666666667,1.1723149479207677,0.21052631578947367
2020,meta learning,43,43,0.3953488372093023,43,4.591085271317829,1.0959420257890058,0.27906976744186046
2020,model-based RL,11,11,0.2727272727272727,11,3.8787878787878785,0.38569460791993504,0.0
2020,multi-agent RL,22,22,0.36363636363636365,22,4.424242424242425,1.04389955304336,0.18181818181818182
2020,multi-task learning,16,16,0.125,16,3.901041666666667,1.0051103021681773,0.1875
2020,neural architecture search,24,24,0.4166666666666667,24,4.833333333333333,1.116800837147058,0.16666666666666666
2020,neuroscience,6,6,0.0,6,3.3333333333333335,1.0495742257959353,0.16666666666666666
2020,object detection,15,15,0.26666666666666666,15,3.927777777777778,0.9535642785926207,0.26666666666666666
2020,offline RL,2,2,0.0,2,4.5,0.0,0.0
2020,optimal transport,8,8,0.125,8,3.541666666666667,1.5154357735950237,0.5
2020,optimization,80,80,0.3375,79,4.313713080168776,1.2154031642481637,0.275
2020,out-of-distribution,20,20,0.0,20,3.6,1.3775150780506549,0.3
2020,privacy,11,11,0.36363636363636365,11,4.0606060606060606,1.4021198031179465,0.36363636363636365
2020,pruning,20,20,0.25,20,4.15,1.0278730216648966,0.05
2020,robustness,18,18,0.3888888888888889,18,4.597222222222222,1.2299328887074963,0.3333333333333333
2020,safety,6,6,0.16666666666666666,6,3.777777777777778,1.0495742257959353,0.3333333333333333
2020,self-supervised learning,20,20,0.35,20,4.591666666666667,1.365001611138406,0.3
2020,semi-supervised learning,21,21,0.19047619047619047,21,4.0476190476190474,1.0648263949693455,0.3333333333333333
2020,time series,6,6,0.5,6,4.805555555555556,1.1657140290113084,0.0
2020,transfer learning,44,44,0.18181818181818182,43,3.8333333333333335,1.1110104893220403,0.25
2020,transformers,50,50,0.26,50,3.8016666666666667,1.066963482979329,0.16
2021,CNNs,34,34,0.14705882352941177,32,4.944270833333333,1.019432477794629,0.029411764705882353
2021,GANs,79,79,0.26582278481012656,79,5.217721518987342,0.8639141848786984,0.0
2021,LLMs,27,27,0.37037037037037035,27,5.7320987654321,0.8729184341581879,0.0
2021,RL,176,176,0.2784090909090909,175,5.439714285714286,0.8823556689625723,0.005681818181818182
2021,RNNs,35,35,0.37142857142857144,34,5.473039215686275,0.8963130747245956,0.05714285714285714
2021,active learning,13,13,0.3076923076923077,13,5.601282051282051,1.0373990735186525,0.07692307692307693
2021,adversarial,134,134,0.2462686567164179,134,5.348258706467662,0.8333349807569996,0.05970149253731343
2021,alignment,4,4,0.25,4,5.083333333333333,0.921594179420018,0.0
2021,anomaly detection,11,11,0.09090909090909091,10,4.583333333333333,0.9382010734906568,0.0
2021,autoencoders,59,59,0.2711864406779661,58,5.338793103448276,0.7063167618510735,0.01694915254237288
2021,autonomous driving,3,3,0.0,3,5.166666666666667,0.7440169358562924,0.0
2021,causality,24,24,0.25,24,5.426388888888888,1.064886347655597,0.125
2021,clustering,16,16,0.1875,16,4.942708333333333,0.685387661901043,0.0
2021,code generation,7,7,0.2857142857142857,6,5.930555555555556,1.1280279152021295,0.0
2021,compression,22,22,0.36363636363636365,22,5.384848484848485,0.9062855811275962,0.045454545454545456
